"Nama","Rating","Tanggal","Ulasan"
"MUZITAR","8.5","Profil ini privat.","Ini sudah ke 2 kali saya nginap d sni. Dan 2x juga saya agak kecewa di kamar mandinya. Lantai kamar mandi tidak bisa kering habis mandi karena kemiringan lantai tidak ke floor drain."
"dwianto n.","6","21-Sep-22","Sepanjang malam berisik musik, kapok."
"Toni","8.5","7-Sep-22","Nyaman sekali. Resepsionis service bagus. Kamar nyaman."
"dadang i.","9.7","4-Sep-22",""
"M S. P. P.","10","29-Aug-22","Saya complain langsung di tindak, keren sih pelayanannya memuaskan."
"Eka Y.","8.5","14-Aug-22","Terbaik kamarnyaa besar suasana enak dekat dari pusat kota mau belanja sebentar ajaa keluar hotel 5 menit sampe di nagoya mall semenyenangkan ituu parkiran luass enak lah pokoknya."
"Bob A. P.","8.8","14-Aug-22","Check in cepat, kamar bersih, petugas ramah. Fasilitas ok."
"Novilia S.","8.5","1-Aug-22","Staff ramah, kamar untuk deluxe lumayan, cuma heran kok dikasih sandalnya cuma 1, amenities lumayan lengkap, kolam renang lumayan bersih, ada sauna, dan steambath didekat kolam renang, awalnya saya kira itu gabung untuk perempuan dan laki-laki, karena yang terlihat cuma itu saja, ternyata untuk perempuan dekat toilet perempuan, cuma karena posisi toilet perempuan tidak terlihat jadi saya tidak tau."
"Devi I.","8.5","24-Jul-22","Letak hotel stategis. Dekat ke pusat perbelanjaan, kamar hotel luas, bersih, petugas ramah-ramah, ada balkon jadi malam hari melihat keluar indah lampu-lampu kota batam secara keseluruhan oke."
"Tomi C.","10","15-Jul-22","Semuanya sudah oke, cuma WiFi aja yang agak lelet."
"Martin H.","8.5","10-Jul-22","Oke. Kamar bersih dan ada kolam berenangnya."
"Fenty C.","8.5","6-May-22","Pelayanannya ramah, kamarnya bagus dan besar, saunanya juga ada dan cocok untuk liburan ke batam."
"Toni","8.5","7-Sep-22","Nyaman sekali. Resepsionis service bagus. Kamar nyaman."
"dadang i.","9.7","4-Sep-22",""
"M S. P. P.","10","29-Aug-22","Saya complain langsung di tindak, keren sih pelayanannya memuaskan."
"Eka Y.","8.5","14-Aug-22","Terbaik kamarnyaa besar suasana enak dekat dari pusat kota mau belanja sebentar ajaa keluar hotel 5 menit sampe di nagoya mall semenyenangkan ituu parkiran luass enak lah pokoknya."
"Bob A. P.","8.8","14-Aug-22","Check in cepat, kamar bersih, petugas ramah. Fasilitas ok."
"Novilia S.","8.5","1-Aug-22","Staff ramah, kamar untuk deluxe lumayan, cuma heran kok dikasih sandalnya cuma 1, amenities lumayan lengkap, kolam renang lumayan bersih, ada sauna, dan steambath didekat kolam renang, awalnya saya kira itu gabung untuk perempuan dan laki-laki, karena yang terlihat cuma itu saja, ternyata untuk perempuan dekat toilet perempuan, cuma karena posisi toilet perempuan tidak terlihat jadi saya tidak tau."
"Devi I.","8.5","24-Jul-22","Letak hotel stategis. Dekat ke pusat perbelanjaan, kamar hotel luas, bersih, petugas ramah-ramah, ada balkon jadi malam hari melihat keluar indah lampu-lampu kota batam secara keseluruhan oke."
"Tomi C.","10","15-Jul-22","Semuanya sudah oke, cuma WiFi aja yang agak lelet."
"Martin H.","8.5","10-Jul-22","Oke. Kamar bersih dan ada kolam berenangnya."
"Fenty C.","8.5","6-May-22","Pelayanannya ramah, kamarnya bagus dan besar, saunanya juga ada dan cocok untuk liburan ke batam."
"Usnedi S.","7.2","6-May-22","Saya sangat kecewa kerna swimming pool nya di tutup kerna ada pengecatan gedung hotel dan itu tidak ada informasi di traveloka dan hotel sebelum check in, karena anak-anak saya semua pengen berenang-renang di hotel dan kami semua sangat kecewa."
"La Ode A. T.","8.5","14-Apr-22","Layanan kamar nya ok, bersih, makanan nya enak."
"Rio A.","8.5","26-Mar-22",""
"pramosinto s.","9.1","14-Feb-22",""
"khairunnisa n.","9.7","27-Jan-22","Merupakan salah satu hotel favorite keluarga saya. Walaupun hotel ini sudah berdiri lama, namun bangunan masih sangat terawat. Tampak bangunan depan memang tidak berubah dari dulu, dengan cat merah yang menjadi ciri khasnya. Hal lain yang saya sukai, Hotel ini bersih dan stafnya yang ramah."
"Vico i. p.","10","21-Dec-21","Pokoknya sangat menyenangkan bisa menginap di hotel planet holiday ini semua nya bagus dan stafnya semua ramah-ramah sekali,saya datang untuk urusan bisnis,mau kemana2 dekat sekali,kamar nya pun sangat bagus dan nyaman,dan makanya nya pun enak2,terima kasih planet holiday kalau saya ke batam lagi saya akan kembali menginap di hotel ini."
"Putri A. B. M.","10","30-Nov-21","Kamar bersih, Receptionist ramah saat c-in maupun c-out, sangat direkomendasikan:)."
"Tri B. S.","9.7","30-Nov-21","Harga murah, proses check in dan check out mudah. Kamar bersih dan nyaman."
"Galih T. A.","9.7","19-Nov-21","Sangat menyenangkan menginap di sini, pelayanan ramah, tempatnya bagus, view nya bisa liat singapura dari sini, recommended lah kalo pas lagi perjalanan ke batam."
"Erma Y.","9.7","10-Nov-21",""
"Usnedi S.","7.2","6-May-22","Saya sangat kecewa kerna swimming pool nya di tutup kerna ada pengecatan gedung hotel dan itu tidak ada informasi di traveloka dan hotel sebelum check in, karena anak-anak saya semua pengen berenang-renang di hotel dan kami semua sangat kecewa."
"La Ode A. T.","8.5","14-Apr-22","Layanan kamar nya ok, bersih, makanan nya enak."
"Rio A.","8.5","26-Mar-22",""
"pramosinto s.","9.1","14-Feb-22",""
"khairunnisa n.","9.7","27-Jan-22","Merupakan salah satu hotel favorite keluarga saya. Walaupun hotel ini sudah berdiri lama, namun bangunan masih sangat terawat. Tampak bangunan depan memang tidak berubah dari dulu, dengan cat merah yang menjadi ciri khasnya. Hal lain yang saya sukai, Hotel ini bersih dan stafnya yang ramah."
"Vico i. p.","10","21-Dec-21","Pokoknya sangat menyenangkan bisa menginap di hotel planet holiday ini semua nya bagus dan stafnya semua ramah-ramah sekali,saya datang untuk urusan bisnis,mau kemana2 dekat sekali,kamar nya pun sangat bagus dan nyaman,dan makanya nya pun enak2,terima kasih planet holiday kalau saya ke batam lagi saya akan kembali menginap di hotel ini."
"Putri A. B. M.","10","30-Nov-21","Kamar bersih, Receptionist ramah saat c-in maupun c-out, sangat direkomendasikan:)."
"Tri B. S.","9.7","30-Nov-21","Harga murah, proses check in dan check out mudah. Kamar bersih dan nyaman."
"Galih T. A.","9.7","19-Nov-21","Sangat menyenangkan menginap di sini, pelayanan ramah, tempatnya bagus, view nya bisa liat singapura dari sini, recommended lah kalo pas lagi perjalanan ke batam."
"Erma Y.","9.7","10-Nov-21",""
"rony F.","6","9-Nov-21","Resepsionis nya yang laki laki itu kurang sopan/tidak ramah."
"Felix S.","9.4","5-Nov-21","Check in yang sangat cepat membuat pengalaman menginap menjadi menyenangkan, kamar juga luas dengan bathub dan kebersihannya sangat baik. Ke depannya saya pasti akan kembali kesini 😁"
"sofiah A. S.","9.7","4-Nov-21",""
"yofa a.","9.1","3-Nov-21","Fasilitas lengkap semua bagus cuma tempat tidur sudah lama harus di perbaharui."
"Andi P.","9.7","1-Nov-21","Bersih, kolam renang oke, anak-anak senang."
"Mayangsari M.","8.5","31-Oct-21","Pelayanan baik dan check in pun cepat."
"Indra B.","8.5","31-Oct-21","Hotel baik untuk liburan keluarga karena terletak di pusat kota. Akses kemana saja dekat. Pelayanan bagus dan ramah. Hotel juga bersih. Recommended."
"Sepriandy A.","9.4","22-Oct-21",""
"Guest","9.7","18-Oct-21","Kamar yang asyik dan memang langganan keluarga, cuma kolam renang nya berubah waktu sehingga anak anak tidak bisa berenang dan menu sarapan pagi nya berkurang tidak seperti biasa dan biaya tambahan untuk anak yang makan terlalu mahal 75k harusnya cukup 50k dengan kondisi makanan seperti itu, tapi tetap jadi favorite kalau nginap di batam 👍.."
"Tetty S.","9.7","11-Oct-21",""
"rony F.","6","9-Nov-21","Resepsionis nya yang laki laki itu kurang sopan/tidak ramah."
"Felix S.","9.4","5-Nov-21","Check in yang sangat cepat membuat pengalaman menginap menjadi menyenangkan, kamar juga luas dengan bathub dan kebersihannya sangat baik. Ke depannya saya pasti akan kembali kesini 😁"
"sofiah A. S.","9.7","4-Nov-21",""
"yofa a.","9.1","3-Nov-21","Fasilitas lengkap semua bagus cuma tempat tidur sudah lama harus di perbaharui."
"Andi P.","9.7","1-Nov-21","Bersih, kolam renang oke, anak-anak senang."
"Mayangsari M.","8.5","31-Oct-21","Pelayanan baik dan check in pun cepat."
"Indra B.","8.5","31-Oct-21","Hotel baik untuk liburan keluarga karena terletak di pusat kota. Akses kemana saja dekat. Pelayanan bagus dan ramah. Hotel juga bersih. Recommended."
"Sepriandy A.","9.4","22-Oct-21",""
"Guest","9.7","18-Oct-21","Kamar yang asyik dan memang langganan keluarga, cuma kolam renang nya berubah waktu sehingga anak anak tidak bisa berenang dan menu sarapan pagi nya berkurang tidak seperti biasa dan biaya tambahan untuk anak yang makan terlalu mahal 75k harusnya cukup 50k dengan kondisi makanan seperti itu, tapi tetap jadi favorite kalau nginap di batam 👍.."
"Tetty S.","9.7","11-Oct-21",""
"Cut L.","9.7","8-Oct-21",""
"Asep S.","8.5","12-Jun-21","Pelayanannya bagus, pesanan sesuai dengan keinginan. Kamarnya bersih karyawannya ramah"
"Mrs A. M.","8.8","15-May-21","Alhamdulillah bisa berlibur dengan menyenangkan"
"RICKY R. S.","9.7","12-Apr-21","Hotel ini secara keseluruhan bagus, sangat memuaskan, cuma sedikit kecewa karena tidak ada kolam air panas nya, biasanya kalau saya berenang selalu ada kolam renang air panasnya di hotel planet."
"Muhammad S. M.","8.5","13-Jan-21","Bagus pelayanannya dan makanannya enak."
"arie s.","5.2","5-Jan-21","Pelayanan check-in sangat buruk. Harus menunggu kamar yang sedang disiapkan selama lebih dari 2 jam, menerima kunci kamar pertama jam 15. 45 dan kunci kamar kedua pada jam 16. Resepsionisnya tidak simpatik menginformasikan keterlambatan kamar yang mereka sedang siapkan."
"Rendy N.","6","2-Jan-21","Sarapan pagi cuma mie goreng dan nasi putih saja."
"Handra H.","6.5","28-Dec-20","Resepsionis tidak ramah, dan check-in seperti diperlambat. Makasih?"
"Linda K.","8.5","18-Dec-20","Kamar bersih, lift wangi dan untuk check-in juga cepat, hanya bantal terlalu tipis."
"maria d. p. p.","8.5","13-Dec-20","Saya sangat menikmati akomodasi yang disediakan oleh hotel, suasananya cocok untuk anak-anak."
"Cut L.","9.7","8-Oct-21",""
"Asep S.","8.5","12-Jun-21","Pelayanannya bagus, pesanan sesuai dengan keinginan. Kamarnya bersih karyawannya ramah"
"Mrs A. M.","8.8","15-May-21","Alhamdulillah bisa berlibur dengan menyenangkan"
"RICKY R. S.","9.7","12-Apr-21","Hotel ini secara keseluruhan bagus, sangat memuaskan, cuma sedikit kecewa karena tidak ada kolam air panas nya, biasanya kalau saya berenang selalu ada kolam renang air panasnya di hotel planet."
"Muhammad S. M.","8.5","13-Jan-21","Bagus pelayanannya dan makanannya enak."
"arie s.","5.2","5-Jan-21","Pelayanan check-in sangat buruk. Harus menunggu kamar yang sedang disiapkan selama lebih dari 2 jam, menerima kunci kamar pertama jam 15. 45 dan kunci kamar kedua pada jam 16. Resepsionisnya tidak simpatik menginformasikan keterlambatan kamar yang mereka sedang siapkan."
"Rendy N.","6","2-Jan-21","Sarapan pagi cuma mie goreng dan nasi putih saja."
"Handra H.","6.5","28-Dec-20","Resepsionis tidak ramah, dan check-in seperti diperlambat. Makasih?"
"Linda K.","8.5","18-Dec-20","Kamar bersih, lift wangi dan untuk check-in juga cepat, hanya bantal terlalu tipis."
"maria d. p. p.","8.5","13-Dec-20","Saya sangat menikmati akomodasi yang disediakan oleh hotel, suasananya cocok untuk anak-anak."
"Dony A. R.","7.2","3-Nov-20","Menu breakfastnya kurang memuaskan."
"hendro w.","9.7","15-Oct-20","Hotel nyaman, pelayanan ramah dan cepat, sesuai aplikasi."
"hendro w.","9.7","13-Sep-20","Teringat beberapa tahun yang lalu setiap kegiatan kementrian selalu di hotel ini."
"Irwan S.","8.5","15-Jul-20",""
"Suprapto","8.5","30-May-20","Kamar bersih dan kamar cukup luas."
"Suprapto","8.5","19-May-20","Pelayanannya memuaskan dan kamar bersih"
"Sugiastuti","8.5","21-Mar-20",""
"Guest","9.7","18-Mar-20","Kamarnya luas dan bersih, pelayanannya juga ramah, pokoknya semua oke deh."
"Dody S.","10","16-Mar-20",""
"Rony L.","10","15-Mar-20","Very happy and comfortable hotel, good service, ruangan kamar luas, bersih, sarapan enak, banyak pilihan, kolam renang bersih."
"Dony A. R.","7.2","3-Nov-20","Menu breakfastnya kurang memuaskan."
"hendro w.","9.7","15-Oct-20","Hotel nyaman, pelayanan ramah dan cepat, sesuai aplikasi."
"hendro w.","9.7","13-Sep-20","Teringat beberapa tahun yang lalu setiap kegiatan kementrian selalu di hotel ini."
"Irwan S.","8.5","15-Jul-20",""
"Suprapto","8.5","30-May-20","Kamar bersih dan kamar cukup luas."
"Suprapto","8.5","19-May-20","Pelayanannya memuaskan dan kamar bersih"
"Sugiastuti","8.5","21-Mar-20",""
"Guest","9.7","18-Mar-20","Kamarnya luas dan bersih, pelayanannya juga ramah, pokoknya semua oke deh."
"Dody S.","10","16-Mar-20",""
"Rony L.","10","15-Mar-20","Very happy and comfortable hotel, good service, ruangan kamar luas, bersih, sarapan enak, banyak pilihan, kolam renang bersih."
"imamhs","8.5","15-Mar-20",""
"Sigit S.","9.1","13-Mar-20","Kamar bersih pelayanan baik dan ramah cuma kalau bisa kamar yang menghadap pemandangan kota di bikin kedap suara donk karena suara motor mobil di luar sana terdengar. Jadi agak kurang nyaman kalau malam berisik."
"Kenni K.","8.8","9-Mar-20",""
"Rizki R.","9.7","5-Mar-20","Dapat rate harga murah banget dari Situs Traveloka tapi fasilitas yang di dapat kelas bintang 5, mantap."
"Guest","9.7","26-Feb-20","Hotelnya bersih dan pelayanan oke. Saya menginap dilantai 18 kamar 23 dan viewnya sangat indah, menyenangkan sekali."
"Ester N.","8.5","25-Feb-20","Suka banget, bersih dari dulu sampai sekarang tetep setoia sama planet, harga juga oke, tetep menjaga konsiten."
"Chrisanti M. R.","8.5","Profil ini privat.",""
"ADI F.","9.7","19-Feb-20",""
"Dedy N.","8.5","15-Feb-20","Kamarnya bagus dan untuk ukuran hotel bintang 4 harganya murah."
"Akmal r. k. s.","9.4","15-Feb-20","Saya sangat menikmati liburan bersama istri saya di hotel ini, pelayanan ramah fasilitas lengkap, pokoknya sangat direkomendasikan utk pasangan suami istri deh 🥰🥰🥰"
"imamhs","8.5","15-Mar-20",""
"Sigit S.","9.1","13-Mar-20","Kamar bersih pelayanan baik dan ramah cuma kalau bisa kamar yang menghadap pemandangan kota di bikin kedap suara donk karena suara motor mobil di luar sana terdengar. Jadi agak kurang nyaman kalau malam berisik."
"Kenni K.","8.8","9-Mar-20",""
"Rizki R.","9.7","5-Mar-20","Dapat rate harga murah banget dari Situs Traveloka tapi fasilitas yang di dapat kelas bintang 5, mantap."
"Guest","9.7","26-Feb-20","Hotelnya bersih dan pelayanan oke. Saya menginap dilantai 18 kamar 23 dan viewnya sangat indah, menyenangkan sekali."
"Ester N.","8.5","25-Feb-20","Suka banget, bersih dari dulu sampai sekarang tetep setoia sama planet, harga juga oke, tetep menjaga konsiten."
"Chrisanti M. R.","8.5","Profil ini privat.",""
"ADI F.","9.7","19-Feb-20",""
"Dedy N.","8.5","15-Feb-20","Kamarnya bagus dan untuk ukuran hotel bintang 4 harganya murah."
"Akmal r. k. s.","9.4","15-Feb-20","Saya sangat menikmati liburan bersama istri saya di hotel ini, pelayanan ramah fasilitas lengkap, pokoknya sangat direkomendasikan utk pasangan suami istri deh 🥰🥰🥰"
"Darwis D.","9.7","Profil ini privat.","Pelayanan cepat ramah dan tidak perlu deposit lokasi strategis dekat masjid."
"Fitria D.","5.7","10-Feb-20","Dari awal sudah request kamar yang no smoking, pas check-in ternyata kamar bau asap rokok+asbak rokok, Ditambah lagi ada bekas kalang minuman keras di bawah tempat tidur, akhirnya komplain ke receptionist mengenai kamar tersebut, Akhirnya sekitar 1 jam kemudian ditelepon kembali untuk pindah kamar lain."
"Miza F.","10","9-Feb-20",""
"Liyas O.","8.5","8-Feb-20","Saya senang sekali pelayanan hotelnya."
"Liyas O.","8.5","7-Feb-20","Pelayanan hotel ini sangat memuaskan."
"Ardiyanti P.","8.5","3-Feb-20","Bagus sekali hotelnya luar biasa."
"Ade F. B.","10","17-Jan-20","Sudah jatuh cinta saat pertama menginap di hotel ini sejak tahun 2007, segala pelayanan dan fasilitas begitu nyata."
"Rusnia p.","8.5","13-Jan-20","Kamarnya bersih dan sangat luas, kami menginap 2 malam dgn kamar konekting ( faimly room) Saran saya sih, untuk srapan pagi di perbanyak variasi makanan nya dan rasa makanan nya di tingkatkan"
"Bayu A.","6.2","12-Jan-20","Pelayanan yang bagus, tempat yang strategic dan fasilitasnya yang lengkap. Namun housekeeping-nya kurang detail untuk membersihkan kamar. Saya menginap di kamar 1015. Kamar deluxe-nya lumayan besar. Perlu ditambahkan untuk stop kontak."
"Maria U.","8.5","10-Jan-20",""
"Darwis D.","9.7","Profil ini privat.","Pelayanan cepat ramah dan tidak perlu deposit lokasi strategis dekat masjid."
"Fitria D.","5.7","10-Feb-20","Dari awal sudah request kamar yang no smoking, pas check-in ternyata kamar bau asap rokok+asbak rokok, Ditambah lagi ada bekas kalang minuman keras di bawah tempat tidur, akhirnya komplain ke receptionist mengenai kamar tersebut, Akhirnya sekitar 1 jam kemudian ditelepon kembali untuk pindah kamar lain."
"Miza F.","10","9-Feb-20",""
"Liyas O.","8.5","8-Feb-20","Saya senang sekali pelayanan hotelnya."
"Liyas O.","8.5","7-Feb-20","Pelayanan hotel ini sangat memuaskan."
"Ardiyanti P.","8.5","3-Feb-20","Bagus sekali hotelnya luar biasa."
"Ade F. B.","10","17-Jan-20","Sudah jatuh cinta saat pertama menginap di hotel ini sejak tahun 2007, segala pelayanan dan fasilitas begitu nyata."
"Rusnia p.","8.5","13-Jan-20","Kamarnya bersih dan sangat luas, kami menginap 2 malam dgn kamar konekting ( faimly room) Saran saya sih, untuk srapan pagi di perbanyak variasi makanan nya dan rasa makanan nya di tingkatkan"
"Bayu A.","6.2","12-Jan-20","Pelayanan yang bagus, tempat yang strategic dan fasilitasnya yang lengkap. Namun housekeeping-nya kurang detail untuk membersihkan kamar. Saya menginap di kamar 1015. Kamar deluxe-nya lumayan besar. Perlu ditambahkan untuk stop kontak."
"Maria U.","8.5","10-Jan-20",""
"Kristonova S.","10","10-Jan-20",""
"Kristonova S.","10","10-Jan-20",""
"Kusyaeni K.","9.7","10-Jan-20","Kamarnya bersih tiap hari di ganti sprei dan lain-lain meski menginap 3 hari."
"M T. L.","8.5","8-Jan-20","Hotel bagus, kamar besar, nyaman deh. Kekurangan nya air closed tidak berfungsi dengan baik, kamar 1720"
"Heru Y.","8.5","6-Jan-20","menyenangkan untuk liburan keluarga, fasilutas lengkap.."
"Abdul Q.","8.5","6-Jan-20","nyaman sama seperti gambar baik bersih ramah"
"Azyun F.","9.7","5-Jan-20","Kamar bersih, makan enak. All is ok!"
"Mazwin M.","9.4","4-Jan-20",""
"Desi N.","10","4-Jan-20",""
"Albert H.","9.7","3-Jan-20",""
"Kristonova S.","10","10-Jan-20",""
"Kristonova S.","10","10-Jan-20",""
"Kusyaeni K.","9.7","10-Jan-20","Kamarnya bersih tiap hari di ganti sprei dan lain-lain meski menginap 3 hari."
"M T. L.","8.5","8-Jan-20","Hotel bagus, kamar besar, nyaman deh. Kekurangan nya air closed tidak berfungsi dengan baik, kamar 1720"
"Heru Y.","8.5","6-Jan-20","menyenangkan untuk liburan keluarga, fasilutas lengkap.."
"Abdul Q.","8.5","6-Jan-20","nyaman sama seperti gambar baik bersih ramah"
"Azyun F.","9.7","5-Jan-20","Kamar bersih, makan enak. All is ok!"
"Mazwin M.","9.4","4-Jan-20",""
"Desi N.","10","4-Jan-20",""
"Albert H.","9.7","3-Jan-20",""
"Asep S.","9.7","3-Jan-20","Kamarnya luas, bersih sesuai dengan pesanan saya serta karyawannya sangat ramah-ramah."
"Indah J. S.","9.7","1-Jan-20","Oke semuanya, cuma tumben saja sih sarapannya kurang bervariasi."
"Dandi I.","10","1-Jan-20","Sudah jatuh cinta saat pertama menginap disini (2006) dan selalu jadi pilihan setiap ke batam."
"Ahmad J.","9.7","29-Dec-19","Semua keren resepsionis perlu polesan sedikit tentang service excellent, selebihnya keren."
"Ahmad J.","9.7","29-Dec-19","Keren. Tim keamanan keren tim resepsionis dan restoran perlu pelatihan sedikit lagi berhadapan dengan tamu (bebrrapa kali saya perhatikan bukan hanya terhadap saya). Kecuali porternya. Tim houskeeping keren. Selebihnya recommended."
"Heni H.","6.5","25-Dec-19","Suara musik terdengar di dalam kamar, terganggu saat tengah malam."
"Efryan S.","10","20-Dec-19","Thanks planet holiday hotel dan residence kalau menginap di sini selalu di upgrade kamarnya 😁😁"
"Oktaveryadi O.","10","20-Dec-19",""
"Ratna M. P.","10","9-Dec-19",""
"Andri S.","10","1-Dec-19","Tidak ada deposit dan sarapannya enak."
"Asep S.","9.7","3-Jan-20","Kamarnya luas, bersih sesuai dengan pesanan saya serta karyawannya sangat ramah-ramah."
"Indah J. S.","9.7","1-Jan-20","Oke semuanya, cuma tumben saja sih sarapannya kurang bervariasi."
"Dandi I.","10","1-Jan-20","Sudah jatuh cinta saat pertama menginap disini (2006) dan selalu jadi pilihan setiap ke batam."
"Ahmad J.","9.7","29-Dec-19","Semua keren resepsionis perlu polesan sedikit tentang service excellent, selebihnya keren."
"Ahmad J.","9.7","29-Dec-19","Keren. Tim keamanan keren tim resepsionis dan restoran perlu pelatihan sedikit lagi berhadapan dengan tamu (bebrrapa kali saya perhatikan bukan hanya terhadap saya). Kecuali porternya. Tim houskeeping keren. Selebihnya recommended."
"Heni H.","6.5","25-Dec-19","Suara musik terdengar di dalam kamar, terganggu saat tengah malam."
"Efryan S.","10","20-Dec-19","Thanks planet holiday hotel dan residence kalau menginap di sini selalu di upgrade kamarnya 😁😁"
"Oktaveryadi O.","10","20-Dec-19",""
"Ratna M. P.","10","9-Dec-19",""
"Andri S.","10","1-Dec-19","Tidak ada deposit dan sarapannya enak."
"Eko M.","8.5","29-Nov-19","Pengalaman menginap yang menyenangkan dan nyaman, recommended."
"Dino S.","9.7","14-Nov-19",""
"Abraham J. T.","9.7","Profil ini privat.","Room 1927 dan room 1929, luas, nyaman dan bersih. Walau dapat paling pojok no balkon karena full tetapi sesuai keinginan dapat paling di atas dengan view yang w. Pendingin ruangan kurang stabil untuk di control tapi its oke tidak terlalu penting. Receptionist sangat ramah dan sesuai dengan apa yang kita konfirmasi 1 hari sebelum check-in (tentang kamar yang kita mau). Staf murah senyum semua dan untuk menu sarapan variable dan sok tempat (mantap). Terima kasih atas pelayanannya. Hope go back there again with the best view and get balcon."
"Asep S.","9.7","4-Nov-19","Kamarnya sesuai dengan yang dipesan, bersih dan menyenangkan. Cocok untuk liburan menginap bersama keluarga."
"Windy A. I.","8.5","3-Nov-19","Kamarnya luas, air lancar, bersih, makanan cukup enak."
"siswanto","8.5","25-Oct-19",""
"Topix J.","10","23-Oct-19","Kamarnya rapi dan bersih, setiap saya ke Batam hotel ini adalah pilihan saya."
"yunita s.","9.7","21-Oct-19","Sebelum check-in saya telpon ke hotel untuk minta connecting room karena saya booked 2 kamar, setiba di hotel proses check-in sangat cepat, dan saya langsung bisa ke kamar, kamarnya sangat besar dan bersih, satu kamar ada mini kitchen-nya jadi bisa masak mie karena ada tempat masak juga. Saya bawa keluarga menginap disini sangat senang kolam renang juga bagus dan bersih. Staf sangat ramah next mau menginap di sini lagi terima kasih planet holiday hotel."
"Ratna M. P.","10","20-Oct-19",""
"Amelia","10","17-Oct-19","kamarnya bersih dan luas, orang2nya ramah, makanan enak, kolam renang juga bersih.. kami pasti akan menginap kembali suatu saat nanti"
